Playlist ID,Nombre Playlist,Descripción,Número de canciones,Url de Spotify
37i9dQZEVXbMDoHDwVN2tF,Top 50 - Global,Your daily update of the most played tracks right now - Global.,50,https://open.spotify.com/playlist/37i9dQZEVXbMDoHDwVN2tF
37i9dQZF1DXcBWIGoYBM5M,Today’s Top Hits,The hottest 50. Cover: Lady Gaga,50,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
37i9dQZEVXbLRQDuF5jeBp,Top 50 - USA,Your daily update of the most played tracks right now - USA.,50,https://open.spotify.com/playlist/37i9dQZEVXbLRQDuF5jeBp
37i9dQZF1DX1lVhptIYRda,Hot Country,Today's top country hits. Cover: Cody Johnson,50,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda
37i9dQZF1Fa1IIVtEpGUcU,Your Top Songs 2023,Spotify Wrapped presents the songs you loved this year,0,https://open.spotify.com/playlist/37i9dQZF1Fa1IIVtEpGUcU
37i9dQZEVXbO3qyFxbkOE1,Top 50 - Mexico,Your daily update of the most played tracks right now - Mexico.,50,https://open.spotify.com/playlist/37i9dQZEVXbO3qyFxbkOE1
37i9dQZF1DX10zKzsJ2jva,Viva Latino,"Today's top Latin hits, elevando nuestra música. Cover: Duki",50,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva
7nNBIhkf6NcdwOG0yJ7oI3,Top Gun Maverick Soundtrack,"Best songs and music from Top Gun 2022. <a href=""https://open.spotify.com/user/31s767o2yihq7nwu5lvbqjvydqru/playlist/2jPMmXPiDhthMYEbYjVRNf"">Click here for the 1986 movie Soundtrack.</a>",24,https://open.spotify.com/playlist/7nNBIhkf6NcdwOG0yJ7oI3
37i9dQZF1DX0kbJZpiYdZl,Hot Hits USA,The hottest tracks in the United States. Cover: Bruno Mars & ROSÉ,50,https://open.spotify.com/playlist/37i9dQZF1DX0kbJZpiYdZl
5ABHKGoOzxkaa28ttQV9sE,Top 100 most streamed songs on Spotify *Updated*,"The 100 most streamed songs on Spotify ever, in correct order (last updated November 4th 2024)",100,https://open.spotify.com/playlist/5ABHKGoOzxkaa28ttQV9sE
0X4qRSrI7W6r3HR87ei5iS,TopChicksRadio,party classics if you feeling white girl💋,195,https://open.spotify.com/playlist/0X4qRSrI7W6r3HR87ei5iS
37i9dQZF1DX7aUUBCKwo4Y,Country Top 50,Country music's 50 most played songs in the world. Updated weekly. Cover: Post Malone and Morgan Wallen,50,https://open.spotify.com/playlist/37i9dQZF1DX7aUUBCKwo4Y
2jPMmXPiDhthMYEbYjVRNf,Top Gun Soundtrack (1986),"Top Gun 1 Soundtrack with Danger Zone, Take my Breath Away, Top Gun Anthem...",16,https://open.spotify.com/playlist/2jPMmXPiDhthMYEbYjVRNf
46iQn1DHoYNlHwBIOnfAxi,Top 100 Nigeria on Apple Music,"Top 100 Nigeria Afrobeats  updated daily.  Fi Kan We Kan Bnxn Rema • Alone FOLA • Awolowo  Fido •  MMS Asake •  Higher Burna Boy • JUJU  ODUMODUBLVCK, Shallipopi, Smur Lee • Murhaba Kizz Daniel • Favourite Girl Rema • Abanikanda  Zinoleesky • Awuke Davido • Piece of my Heart WizKid Order Shallipopi",100,https://open.spotify.com/playlist/46iQn1DHoYNlHwBIOnfAxi
19PgP2QSGPcm6Ve8VhbtpG,80s HITS | TOP 100 SONGS ,"The best of the 1980s classics from Michael Jackson, Journey, Whitney Houston, TOTO, AC/DC, Kenny Loggins, Billy Joel, Survivor + more. Stranger Things, Top Gun, Back to the Future.",125,https://open.spotify.com/playlist/19PgP2QSGPcm6Ve8VhbtpG
5KJDMJe9EJ7QRz8FG2MIpI,BEST HITS 2024 🔥 Popular Songs 🎵 Top Music Hits 🎵 ,Best Hits 2024 | Popular Songs 2024 | Top Music Hits | Today Top Hits | Viral Hits | Radio Hits 2023/2024 | Summer Music Mix 2024 | Best Of 2024 | Summer Vibes | Deep House | Pop Vibes | Top Songs | Top Music | Global Hits | Best Songs| Clean | Pop Hits | Viral Pop - updated and active! :),145,https://open.spotify.com/playlist/5KJDMJe9EJ7QRz8FG2MIpI
6UeSakyzhiEt4NB3UAd6NQ,Billboard Hot 100,"The official <a href=""http://www.billboard.com/charts/hot-100"">Billboard Hot 100</a> features this week's most popular songs across all genres, ranked by radio airplay monitored by Nielsen BDS, download sales tracked by Nielsen SoundScan and streaming activity data provided by leading online music services. For more information go to <a href=""http://Billboard.com"">Billboard.com</a>.",100,https://open.spotify.com/playlist/6UeSakyzhiEt4NB3UAd6NQ
6XMhvUe2OfARE6iEjhx96k,Lullabies for Baby Sleep 2024 💤 🧸😴,"The Top 100 Soothing Hand-Picked Piano Lullaby Melodies - Cool, Calm and gentle lullabies to help rock your baby to sleep - Includes Twinkle, Twinkle Little Star, Tiny Dancer, I See The Moon, A Million Dreams, Disney, Pop, Classical &amp; many more. (Little Rainbow Playlists 2024) - Updated Sept 2024",100,https://open.spotify.com/playlist/6XMhvUe2OfARE6iEjhx96k
5Ux99VLE8cG7W656CjR2si,TOP CHRISTIAN HITS 2024,"Popular Christian music November 2024! Top Christian Mix, Christian Radio Hits, Top Hits, and Worship Now. Updated frequently! Top artists include Lauren Daigle, Bethel Music, Carrie Underwood, Hillsong Worship, Kari Jobe, Natalie Grant, Elevation Worship, Crowder, Tauren Wells, Chris Tomlin &amp;more!",1001,https://open.spotify.com/playlist/5Ux99VLE8cG7W656CjR2si
37i9dQZF1E4x9kylcU4jOX,Zach Top Radio,"With Treaty Oak Revival, Braxton Keith, Gavin Adcock and more",50,https://open.spotify.com/playlist/37i9dQZF1E4x9kylcU4jOX
1udqwx26htiKljZx4HwVxs,2000s Throwbacks (Top 100 Hits),Best Throwback Hits from 2000 to 2010 with a few older and more recent picks.,112,https://open.spotify.com/playlist/1udqwx26htiKljZx4HwVxs
3C64V048fGyQfCjmu9TIGA,90s HITS | TOP 100 SONGS,"The best of the 1990s classics, from TLC, Backstreet Boys, Destiny's Child, *NSYNC, Mariah Carey, Christina Aguilera, Britney Spears, Jennifer Lopez + more.",147,https://open.spotify.com/playlist/3C64V048fGyQfCjmu9TIGA
774kUuKDzLa8ieaSmi8IfS,Top Hits of 2024,Spotify presents... Top Hits of 2024! Cover: Sabrina Carpenter ,100,https://open.spotify.com/playlist/774kUuKDzLa8ieaSmi8IfS
30wdzfOKmW7JmLPiQI0BGC,Top Christian Worship Songs,,127,https://open.spotify.com/playlist/30wdzfOKmW7JmLPiQI0BGC
0Hm1tCeFv45CJkNeIAtrfF,Top 100 Artists (Monthly Listenership),A list of the top 100 artists on Spotify based on monthly listenership. Last updated: 5 November 2024,100,https://open.spotify.com/playlist/0Hm1tCeFv45CJkNeIAtrfF
