canción id,nombre,artistas,duración (segundos),popularidad,explícito,fecha de lanzamiento,url de spotify,imagen,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,clave (key),modo (mode),predicted_genre,Cluster
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",251.667,100,0,2024-08-16,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,0.521,0.592,0.535,157.969,0.308,0.0,0.0304,6,0,country,0
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",169.917,97,0,2024-10-18,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,https://i.scdn.co/image/ab67616d0000b273f8c8297efc6022534f1357e1,0.777,0.783,0.939,149.027,0.0283,0.0,0.26,0,0,rock,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,210.373,97,0,2024-05-17,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,0.747,0.507,0.438,104.978,0.2,0.0608,0.0358,2,1,hip hop,0
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,170.887,92,0,2024-07-19,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.66,0.756,0.838,116.034,0.00289,0.0,0.032,0,0,latin,0
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",225.88,92,1,2024-09-26,https://open.spotify.com/track/1cOboCuWYI2osTOfolMRS6,https://i.scdn.co/image/ab67616d0000b273b51d9a74d356d785cce9dea9,0.694,0.651,0.471,112.648,0.496,1.36e-05,0.0784,6,1,country,2
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,166.3,88,1,2024-10-18,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,0.554,0.808,0.372,108.548,0.214,0.0,0.0368,1,1,rock,2
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,157.279,94,0,2024-08-23,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,0.674,0.907,0.721,112.964,0.101,0.0,0.064,3,1,latin,0
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,211.978,92,0,2024-07-26,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,0.494,0.413,0.273,94.938,0.682,6.72e-05,0.0254,11,1,classical,0
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,175.459,88,1,2024-08-23,https://open.spotify.com/track/2HRqTpkrJO5ggZyyK6NPWz,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,0.699,0.776,0.708,103.963,0.131,5.36e-06,0.0293,0,1,latin,2
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,218.423,94,0,2024-04-05,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,0.7,0.582,0.785,116.712,0.0502,0.0,0.0356,11,0,latin,0
